"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20230101","2023","52","2023","710","ZAF","South Africa","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","229.918","true","0","false",,"79015.756","79015.756","4","false","true",
"C","A","20230101","2023","52","2023","688","SRB","Serbia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","14845","false","0","false",,"3514362","3514362","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","12953.484","true","0","false",,"16176227.475","16176227.475","4","false","true",
"C","A","20230101","2023","52","2023","703","SVK","Slovakia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2521.76","true","0","false",,"711153.615","711153.615","4","false","true",
"C","A","20230101","2023","52","2023","705","SVN","Slovenia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1797.69","false","0","false",,"1516334.023","1516334.023","0","false","true",
"C","A","20230101","2023","52","2023","710","ZAF","South Africa","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1174.879","true","0","false",,"1373944.364","1373944.364","4","false","true",
"C","A","20230101","2023","52","2023","724","ESP","Spain","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","228063.36","false","0","false",,"5929794.57","5929794.57","0","false","true",
"C","A","20230101","2023","52","2023","724","ESP","Spain","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","54206.35","false","0","false",,"14607659.3","14607659.3","0","false","true",
"C","A","20230101","2023","52","2023","752","SWE","Sweden","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","32884.94","true","0","false",,"29281363.204","29281363.204","4","false","true",
"C","A","20230101","2023","52","2023","757","CHE","Switzerland","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","12652.547","true","0","false",,"25056360.191","25056360.191","4","false","true",
"C","A","20230101","2023","52","2023","752","SWE","Sweden","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","21506.728","true","0","false",,"18547785.09","18547785.09","6","false","true",
"C","A","20230101","2023","52","2023","757","CHE","Switzerland","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","29278.565","true","0","false",,"120816837.616","120816837.616","6","false","true",
"C","A","20230101","2023","52","2023","792","TUR","TŠéye","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","57570331","false","0","false",,"415572579","415572579","2","false","true",
"C","A","20230101","2023","52","2023","804","UKR","Ukraine","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","3537.483","false","0","false",,"2569743.1","2569743.1","0","false","true",
"C","A","20230101","2023","52","2023","807","MKD","North Macedonia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","98.753","true","0","false",,"6029.938","6029.938","4","false","true",
"C","A","20230101","2023","52","2023","826","GBR","United Kingdom","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","156501.302","true","0","false",,"111632995.754","111632995.754","6","false","true",
"C","A","20230101","2023","52","2023","792","TUR","TŠéye","X","Export","842","USA","USA","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1387","false","0","false",,"977102","977102","2","false","true",
